Model,Variable,Coefficient,Std_Error,P_Value,Sig
VULN-I.1,Constant,0.6212027642874176,0.04041593376768086,2.591911185277402e-53,***
VULN-I.1,Poverty Gap ($4.20/day),-0.0008280763413625088,0.0017528350130339404,0.6366262073281355,
VULN-I.1,Log GDP per Capita (PPP),0.08676875462101098,0.022905197589097922,0.00015176173677584822,***
VULN-I.1,Region FE: Europe & Central Asia,-0.09011052914210974,0.052031979402684995,0.08330388207281919,*
VULN-I.1,Region FE: Latin America & Caribbean,0.08217055232171674,0.05859349323879594,0.1608007364726185,
VULN-I.1,Region FE: Middle East & North Africa,0.068621770983221,0.0705040486209231,0.3304029507103071,
VULN-I.1,Region FE: North America,0.1099678308022682,0.06767126509398327,0.1041561827899658,
VULN-I.1,Region FE: South Asia,-0.22636226164266493,0.10459948663080311,0.030457766624607988,**
VULN-I.1,Region FE: Sub-Saharan Africa,-0.30685577255625107,0.052420659073842336,4.807025021027996e-09,***
VULN-I.1,R-squared,0.6289580311051421,,,
VULN-I.1,Adj. R-squared,0.6079060045011786,,,
VULN-I.1,N,150,,,
VULN-I.1,Region Fixed Effects,Yes,,,
VULN-I.1-SQ,Constant,0.587906533092796,0.04157583279027447,2.1350684142694608e-45,***
VULN-I.1-SQ,Poverty Gap ($4.20/day),-0.0074605648295718065,0.0032356391820110267,0.02112478201131219,**
VULN-I.1-SQ,Log GDP per Capita (PPP),0.06995053995166943,0.02386339403394862,0.0033755697294104853,***
VULN-I.1-SQ,Poverty Gap Squared,0.00017423801938403586,5.939687108763006e-05,0.003352127721382737,***
VULN-I.1-SQ,Region FE: Europe & Central Asia,-0.1026761745322603,0.05113889318068903,0.04466557827207285,**
VULN-I.1-SQ,Region FE: Latin America & Caribbean,0.07433333417338592,0.057155693180347314,0.19341554278857098,
VULN-I.1-SQ,Region FE: Middle East & North Africa,0.05360708898503343,0.06794511472713921,0.4301258261896639,
VULN-I.1-SQ,Region FE: North America,0.10585511463656201,0.06413709446205569,0.09885078176968495,*
VULN-I.1-SQ,Region FE: South Asia,-0.2375184254085309,0.1025422396499135,0.020541981766466443,**
VULN-I.1-SQ,Region FE: Sub-Saharan Africa,-0.26819729126822295,0.05519634846763887,1.1799919787439173e-06,***
VULN-I.1-SQ,R-squared,0.6409108634886129,,,
VULN-I.1-SQ,Adj. R-squared,0.617826561855738,,,
VULN-I.1-SQ,N,150,,,
VULN-I.1-SQ,Region Fixed Effects,Yes,,,
VULN-I.2,Constant,0.6003609583317044,0.03974641448455359,1.5060180037334596e-51,***
VULN-I.2,Poverty Gap ($4.20/day),-0.0013151502302085787,0.0017601227204856761,0.4549474617270314,
VULN-I.2,Log GDP per Capita (PPP),0.04703535507049185,0.02911281653652312,0.1061757062587662,
VULN-I.2,Government Effectiveness (WGI),0.04990490101879997,0.02651266007992387,0.059794675466495535,*
VULN-I.2,Region FE: Europe & Central Asia,-0.0654847069904794,0.05254324458407673,0.21265384996922476,
VULN-I.2,Region FE: Latin America & Caribbean,0.11907867946182013,0.05458735868886025,0.029151386302407142,**
VULN-I.2,Region FE: Middle East & North Africa,0.1036295988129778,0.07245554337160647,0.1526450503304998,
VULN-I.2,Region FE: North America,0.1187117145230796,0.06099413805669491,0.05162102904570144,*
VULN-I.2,Region FE: South Asia,-0.21792465702357638,0.09864689659699936,0.027165009065475434,**
VULN-I.2,Region FE: Sub-Saharan Africa,-0.2913990771811349,0.05146472892373098,1.4952087268315694e-08,***
VULN-I.2,R-squared,0.6372126755574962,,,
VULN-I.2,Adj. R-squared,0.6138906332719066,,,
VULN-I.2,N,150,,,
VULN-I.2,Region Fixed Effects,Yes,,,
VULN-I.3,Constant,0.6076962277145039,0.037682981513312126,1.6605875016890732e-58,***
VULN-I.3,Poverty Gap ($4.20/day),-0.0013472277231922464,0.001691444902572217,0.4257442721627823,
VULN-I.3,Log GDP per Capita (PPP),0.035694947059759036,0.031149679909393754,0.25182950565991735,
VULN-I.3,Government Effectiveness (WGI),0.05090023265164182,0.026769395519636047,0.05724521973435354,*
VULN-I.3,Building Quality Index,0.009068278408989596,0.005145749033104532,0.0780210888667894,*
VULN-I.3,Region FE: Europe & Central Asia,-0.07379796219365944,0.050322349991872586,0.14251084487795151,
VULN-I.3,Region FE: Latin America & Caribbean,0.12426497810167111,0.053030313733104864,0.019114930717393397,**
VULN-I.3,Region FE: Middle East & North Africa,0.07842715097391367,0.07127909175117793,0.27120897079399053,
VULN-I.3,Region FE: North America,0.10120021205723757,0.05655245813265214,0.0735354990708083,*
VULN-I.3,Region FE: South Asia,-0.23613754653741836,0.09451284832769043,0.012473058630744195,**
VULN-I.3,Region FE: Sub-Saharan Africa,-0.3008392279595199,0.04862271761417546,6.123625942368421e-10,***
VULN-I.3,R-squared,0.6444691072266899,,,
VULN-I.3,Adj. R-squared,0.6188913451566675,,,
VULN-I.3,N,150,,,
VULN-I.3,Region Fixed Effects,Yes,,,
VULN-I.3-SQ,Constant,0.5781707621701733,0.0390516349493257,1.3540273698502995e-49,***
VULN-I.3-SQ,Poverty Gap ($4.20/day),-0.007221114254982418,0.0031192701450641117,0.02061286418628248,**
VULN-I.3-SQ,Log GDP per Capita (PPP),0.02407272819071868,0.03058104725557367,0.4311776629307895,
