WB_A3,NAM_0,GEM_PGA_mean,GEM_PGA_median,FLOOD_mean,FLOOD_median,STORM_mean,STORM_median
CHN,China,0.120514849540429,0.09632077993794878,0.04728434722238645,0.0,6.533895521760607,0.0
JPN,Japan,0.38054070018571234,0.31814841042559605,0.03497460341500628,0.0,36.87856889662284,38.01560974121094
KOR,Republic of Korea,0.14371236029957626,0.13192354784814153,0.11829284484791018,0.0,38.11434659090909,38.460716247558594
PRK,D. P. R. of Korea,0.09286494229944306,0.0775417242703991,0.054113135603876074,0.0,33.18704008520527,33.439491271972656
RUS,Russian Federation,0.03250246133922238,0.009161363990547476,0.039352240515544194,0.0,0.420132522475493,0.0
IND,India,0.13699185377674997,0.08868516005506318,0.133739783229678,0.0,11.23671096743295,0.0
KAZ,Kazakhstan,0.02512350137977519,0.005957607416383171,0.020170632631176192,0.0,0.0,0.0
KGZ,Kyrgyz Republic,0.2725228584411473,0.2549946423658217,0.03519646219826566,0.0,0.0,0.0
MMR,Myanmar,0.23306356547327917,0.21213306446469127,0.08199227163748543,0.0,11.081946537777585,0.0
MNG,Mongolia,0.10495733706597248,0.09789965499947456,0.005424497351325038,0.0,0.0,0.0
VNM,Viet Nam,0.057089090915597225,0.038799354990329535,0.11667565094688888,0.0,28.31549370699022,29.265117645263672
AFG,Afghanistan,0.2038288470635161,0.1879459,0.019440858885923534,0.0,0.0,0.0
ARE,United Arab Emirates,0.014055903787294982,0.007826427933483466,0.006503996299100867,0.0,0.0,0.0
AZE,Azerbaijan,0.30708282285628846,0.3052732856021279,0.05150451077804175,0.0,0.0,0.0
BLR,Belarus,0.0008143410579461547,0.0,0.011681594289104218,0.0,0.0,0.0
BTN,Bhutan,0.29962465090387636,0.28451190000007504,0.016878414616253536,0.0,0.0,0.0
GEO,Georgia,0.2840428922065294,0.2957778999999999,0.027363981130513696,0.0,0.0,0.0
IRN,Islamic Republic of Iran,0.260699785387391,0.2570246946702405,0.02289458256569076,0.0,0.950040752704327,0.0
LVA,Latvia,0.01887034984555614,0.0172845,0.020329199699871535,0.0,0.0,0.0
MDA,Moldova,0.15940539670931117,0.14094113308869505,0.06667258791171707,0.0,0.0,0.0
NPL,Nepal,0.37433875127860766,0.3787499057005609,0.025581204983624595,0.0,0.0,0.0
OMN,Oman,0.013459927331638026,0.009859403999998899,0.0034858527885484546,0.0,21.319338489175067,24.46848487854004
PAK,Pakistan,0.2574986736755658,0.2515927,0.08406994762301262,0.0,7.828742225943138,0.0
ROM,Romania,0.20412323335725419,0.157664728095678,0.03567787823134484,0.0,0.0,0.0
TJK,Tajikistan,0.29667237491844606,0.2720240861138119,0.07775240125698624,0.0,0.0,0.0
TKM,Turkmenistan,0.08948226057074901,0.053832629970981226,0.015101273557045002,0.0,0.0,0.0
TUR,TÃ¼rkiye,0.24380964880802997,0.2356970999949536,0.040863259517150544,0.0,0.0,0.0
UKR,Ukraine,0.021037673075606497,0.008330078000000001,0.032683196700846004,0.0,0.0,0.0
UZB,Uzbekistan,0.07147470165838725,0.02806747743988476,0.025698550879023816,0.0,0.0,0.0
ARM,Armenia,0.32211537711443244,0.32269519999999996,0.013723758652741854,0.0,0.0,0.0
BHR,Bahrain,0.011208698503447075,0.01118794,0.011713855506687416,0.0,0.0,0.0
CYP,Cyprus,0.28565932081443857,0.2702826364181352,0.007986472300600478,0.0,0.0,0.0
DJI,Djibouti,0.1845282978041317,0.18517132217438148,0.011200263369149673,0.0,0.0,0.0
EGY,Arab Republic of Egypt,0.025234651710451004,0.00936067711332558,0.027571595450031076,0.0,0.0,0.0
ERI,Eritrea,0.07556569681869159,0.06168079999916075,0.008934309286586364,0.0,0.0,0.0
ETH,Ethiopia,0.04532882910135954,0.010822390007325402,0.016691100869467148,0.0,0.0,0.0
FIN,Finland,0.004275191031185073,1.1985165538856886e-08,0.017343230763741585,0.0,0.0,0.0
GBR,Sovereign Base Areas of Akrotiri and Dhekelia (U.K.),0.3209145306051938,0.34435754053714085,0.19357543030616697,0.0,0.0,0.0
,Iraq,0.11054930495394223,0.07731119340104693,0.09932457224905332,0.0,0.0,0.0
ISR,Israel,0.21065369495628053,0.18206139999999585,0.006493594429404604,0.0,0.0,0.0
JOR,Jordan,0.11739514536097392,0.06997669678408235,0.002850368102968105,0.0,0.0,0.0
KEN,Kenya,0.04503934312996203,0.02593248,0.023481060109224457,0.0,0.0,0.0
KWT,Kuwait,0.07549981694017134,0.07511871999994599,0.024329853964624126,0.0,0.0,0.0
LBN,Lebanon,0.3739113004867597,0.35827713056414345,0.006004522329326588,0.0,0.0,0.0
NOR,Norway,0.011087793795337461,0.009864776136945738,0.05986182249260443,0.0,0.0,0.0
WBG,West Bank and Gaza,0.26171557669028306,0.22924020000000003,0.0033009498836607826,0.0,0.0,0.0
QAT,Qatar,0.00921776360745643,0.008415571240809591,0.005151786368087225,0.0,0.0,0.0
SAU,Saudi Arabia,0.015935381684003637,0.007218624427234149,0.004156944742382671,0.0,0.02730266274519652,0.0
SDN,Sudan,0.0004964696365585511,0.0,0.023493788743299288,0.0,0.0,0.0
SOM,Somalia,0.009490473264612229,0.0,0.024187421370873177,0.0,2.1451867379881686,0.0
SSD,South Sudan,0.023246554423090475,0.0,0.028415099663875912,0.0,0.0,0.0
SYR,Syrian Arab Republic,0.1404075971617243,0.11309317606011438,0.05909167790631842,0.0,0.0,0.0
UGA,Uganda,0.08371001737855444,0.04251114894981295,0.10726395167506159,0.0,0.0,0.0
UKR,Ukraine,0.054299767085479185,0.061021511881042025,0.005820586655950109,0.0,0.0,0.0
YEM,Republic of Yemen,0.04262726415305529,0.036179200000000154,0.004394655835973764,0.0,8.996319739856022,0.0
ATF,French Southern and Antarctic Lands (Fr.),,,0.005901393597371925,0.0,18.461870016510954,19.254432678222656
BDI,Burundi,0.1295201547206455,0.14602832822884093,0.010169986062898833,0.0,0.0,0.0
DRC,Democratic Republic of Congo,0.044294888752068586,0.01872805971096269,0.08108674523727331,0.0,0.0,0.0
