Model,Description,Variable,Coefficient,Std_Error,P_Value,Sig
RC0-A-VULN,VULN-Baseline (GDP Model),Intercept,0.5591852089774036,0.04059357135037029,3.593073741431238e-43,***
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.Europe & Central Asia],-0.07267521379533824,0.05056105406822029,0.15061136338108932,
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.Latin America & Caribbean],0.09200801057196753,0.05000582150518228,0.0657761676540021,*
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.Middle East & North Africa],0.0724519558807808,0.07665157589956892,0.3445508772236757,
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.North America],0.1466577317232248,0.09506491819032016,0.12290081799609533,
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.South Asia],-0.22754480678478634,0.09984740567933158,0.022671489605217098,**
RC0-A-VULN,VULN-Baseline (GDP Model),C(REGION)[T.Sub-Saharan Africa],-0.20199363626599298,0.06538223391684922,0.0020054300896091954,***
RC0-A-VULN,VULN-Baseline (GDP Model),C_POVERTY,-0.006704719978359364,0.003496856385580183,0.0551926689934149,*
RC0-A-VULN,VULN-Baseline (GDP Model),C_POVERTY_SQ,0.00015308023235280252,6.38443233064391e-05,0.01649787881306111,**
RC0-A-VULN,VULN-Baseline (GDP Model),C_log_GDP,0.06678902211714684,0.028704317853278632,0.019976254985190612,**
RC0-A-VULN,VULN-Baseline (GDP Model),C_URBAN,0.0003908236836227942,0.0011821070659064378,0.740934447872305,
RC0-A-VULN,VULN-Baseline (GDP Model),C_log_DIS_EQK,0.06319618293045623,0.01812268456505609,0.00048823136210851624,***
RC0-A-VULN,VULN-Baseline (GDP Model),C_log_DIS_STM,0.0050357391252828145,0.01641632003434232,0.7590321406375524,
RC0-A-VULN,VULN-Baseline (GDP Model),C_log_DIS_FLD,-0.031470612861812665,0.017493112768232264,0.07201413243309895,*
RC0-A-VULN,,R-squared,0.6672768971064055,,,
RC0-A-VULN,,Adj. R-squared,0.6354724828592235,,,
RC0-A-VULN,,N,150.0,,,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),Intercept,0.2466426910214888,0.051506875730912845,1.6799979027452302e-06,***
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.Europe & Central Asia],0.12130966670464384,0.06830489437967427,0.07573249658386837,*
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.Latin America & Caribbean],-0.17562710273769178,0.05874931495876296,0.0027949633132005715,***
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.Middle East & North Africa],0.21065889727767473,0.08980670122540148,0.01899177334494559,**
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.North America],-0.3459414047818864,0.0845477035957587,4.282755767838079e-05,***
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.South Asia],0.1273220538267059,0.11152312336820996,0.25359326761545453,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C(REGION)[T.Sub-Saharan Africa],-0.017232180992374332,0.06286597671293065,0.7840002344424779,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_POVERTY,-0.0019571282472301897,0.003572549040418256,0.5838127302786811,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_POVERTY_SQ,7.50845354074345e-05,6.793946010016114e-05,0.2690866841016377,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_log_GDP,0.06438764200976861,0.03110975012301695,0.038481072724143285,**
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_URBAN,0.0019170723841879312,0.001009365873606647,0.057527154486765895,*
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_log_DIS_EQK,0.04277835765083406,0.019854195108166946,0.031191141708314142,**
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_log_DIS_STM,-0.0056273853896030585,0.014311567955202633,0.6941678029651771,
RC0-A-ONLY,ONLY-Baseline  (GDP Model),C_log_DIS_FLD,-0.016880584963837108,0.016615699570871577,0.3096570667980766,
RC0-A-ONLY,,R-squared,0.6197612494590052,,,
RC0-A-ONLY,,Adj. R-squared,0.5834148983043512,,,
RC0-A-ONLY,,N,150.0,,,
RC0-B-VULN,VULN-Baseline  (Inst. Model),Intercept,0.5446261804287388,0.04069687365145649,7.652249929986237e-41,***
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.Europe & Central Asia],-0.04437641102475651,0.04575439855922586,0.33210483990875617,
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.Latin America & Caribbean],0.1337825293307916,0.04887980971924915,0.006200811516966504,***
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.Middle East & North Africa],0.08354345387458734,0.08309669965400729,0.314715679176392,
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.North America],0.15517882908533295,0.0754732298822113,0.03977502201170379,**
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.South Asia],-0.23054303530298423,0.09277707817480155,0.012958283378346558,**
RC0-B-VULN,VULN-Baseline  (Inst. Model),C(REGION)[T.Sub-Saharan Africa],-0.20332872117818335,0.06173105343317491,0.0009884862612666366,***
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_POVERTY,-0.007522242027997034,0.0035196388427120276,0.032580113607940005,**
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_POVERTY_SQ,0.0001470741965895383,6.74106217409269e-05,0.029126813616896972,**
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_GOV_EFF,0.05388435478094937,0.023013638834197422,0.019211077988107415,**
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_CDBQ,0.007172649673392227,0.006267109316597558,0.2524201036408641,
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_URBAN,0.0007638094761412074,0.0011286455563159201,0.4985653762392399,
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_log_DIS_EQK,0.056645507832297645,0.017901538372830417,0.001554663134767816,***
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_log_DIS_STM,0.005316673526571128,0.015400692700629619,0.7299267196584425,
RC0-B-VULN,VULN-Baseline  (Inst. Model),C_log_DIS_FLD,-0.030239228322225767,0.019985496566941346,0.13026476343348511,
RC0-B-VULN,,R-squared,0.6742568146718032,,,
RC0-B-VULN,,Adj. R-squared,0.6404760398970273,,,
RC0-B-VULN,,N,150.0,,,
RC0-B-ONLY,ONLY-Baseline  (Inst. Model),Intercept,0.24271954310826996,0.05311628486572059,4.8868371444121e-06,***
RC0-B-ONLY,ONLY-Baseline  (Inst. Model),C(REGION)[T.Europe & Central Asia],0.14013333819989376,0.06590511668391247,0.033479186287758686,**
RC0-B-ONLY,ONLY-Baseline  (Inst. Model),C(REGION)[T.Latin America & Caribbean],-0.14746255822556334,0.06019232777435342,0.014291320554467609,**
