Variable,RC0-A-ONLY,RC0-A-VULN,RC0-B-ONLY,RC0-B-VULN,RC1-A-ONLY,RC1-A-VULN,RC1-B-ONLY,RC1-B-VULN,RC10-2-A-ONLY,RC10-2-A-VULN,RC10-2-B-ONLY,RC10-2-B-VULN,RC10-A-ONLY,RC10-A-VULN,RC10-B-ONLY,RC10-B-VULN,RC11-2-A-ONLY,RC11-2-A-VULN,RC11-2-B-ONLY,RC11-2-B-VULN,RC11-A-MPI,RC11-B-MPI,RC12-A-EAS-ONLY,RC12-A-EAS-VULN,RC12-A-EUR-ONLY,RC12-A-EUR-VULN,RC12-A-LAT-ONLY,RC12-A-LAT-VULN,RC12-A-MID-ONLY,RC12-A-MID-VULN,RC12-A-NOR-ONLY,RC12-A-NOR-VULN,RC12-A-SOU-ONLY,RC12-A-SOU-VULN,RC12-A-SUB-ONLY,RC12-A-SUB-VULN,RC12-B-EAS-ONLY,RC12-B-EAS-VULN,RC12-B-EUR-ONLY,RC12-B-EUR-VULN,RC12-B-LAT-ONLY,RC12-B-LAT-VULN,RC12-B-MID-ONLY,RC12-B-MID-VULN,RC12-B-NOR-ONLY,RC12-B-NOR-VULN,RC12-B-SOU-ONLY,RC12-B-SOU-VULN,RC12-B-SUB-ONLY,RC12-B-SUB-VULN,RC2-A-ONLY,RC2-A-VULN,RC2-B-ONLY,RC2-B-VULN,RC3-A-ONLY,RC3-A-VULN,RC3-B-ONLY,RC3-B-VULN,RC4-A-ONLY,RC4-A-VULN,RC4-B-ONLY,RC4-B-VULN,RC5-A-ONLY,RC5-A-VULN,RC5-B-ONLY,RC5-B-VULN,RC6-A-ONLY,RC6-A-VULN,RC6-B-ONLY,RC6-B-VULN,RC7-A-ONLY,RC7-A-VULN,RC7-B-ONLY,RC7-B-VULN,RC8-A-ONLY,RC8-A-VULN,RC8-B-ONLY,RC8-B-VULN,RC9-A-ONLY,RC9-A-VULN,RC9-B-ONLY,RC9-B-VULN
C(REGION)[T.Europe & Central Asia],0.1295*,-0.0578,0.1809***,-0.0143,0.1156**,-0.0664,0.1352**,-0.0366,0.1337*,-0.0575,0.1822***,-0.0261,0.1109*,-0.0871*,0.1543**,-0.0451,0.2164***,0.0864,0.2707***,0.1292**,1.4045,11.7326***,0.1754***,0.0530,-0.0000,-0.0000**,0.1174*,-0.0773,0.1311**,-0.0472,0.1305*,-0.0548,0.1380**,-0.0497,0.0955,-0.0853,0.1942***,0.0702**,0.0000***,-0.0000**,0.1663**,-0.0221,0.1870***,-0.0081,0.1811***,-0.0110,0.1917***,-0.0041,0.1520**,-0.0460,0.1346**,-0.0562,0.1671***,-0.0333,0.1256*,-0.0635,0.1827***,-0.0110,0.1345**,-0.0594,0.1526**,-0.0457,-0.0013,-0.1019*,0.0399,-0.0498,0.1185,-0.1025,0.0750,-0.0959,-0.0650,-0.1575**,-0.0389,-0.1073,0.1398**,-0.0519,0.1898***,-0.0084,0.1208*,-0.0711,0.1734***,-0.0268
C(REGION)[T.Latin America & Caribbean],-0.1532***,0.1049**,-0.0957*,0.1635***,-0.1192***,0.1136**,-0.0887*,0.1592***,-0.1622***,0.0991*,-0.1036*,0.1589***,-0.1670***,0.0800,-0.1136**,0.1419***,-0.0952**,0.0729,-0.0404,0.1338**,0.1393,9.4492***,-0.1123***,0.2147***,-0.1578***,0.1081**,-0.0000***,0.0000***,-0.1543***,0.1061**,-0.1527***,0.1064**,-0.1526***,0.1056**,-0.1629***,0.0947**,-0.0914***,0.2443***,-0.1064**,0.1866***,0.0000***,-0.0000***,-0.0969*,0.1629***,-0.0956*,0.1644***,-0.0984*,0.1606***,-0.1076*,0.1435***,-0.1551***,0.0971**,-0.1137**,0.1401***,-0.1553***,0.1039**,-0.0912*,0.1707***,-0.1612***,0.0912*,-0.1301**,0.1278***,-0.2482***,0.0766,-0.2151***,0.1274**,-0.0482,0.1745***,-0.0463,0.2255***,-0.3652***,-0.0081,-0.3434***,0.0509,-0.1392**,0.1107**,-0.0834,0.1679***,-0.1610***,0.0920*,-0.1011*,0.1528***
C(REGION)[T.Middle East & North Africa],0.2598***,0.0984,0.2779***,0.1255*,0.2466***,0.0901,0.2451***,0.1110,0.2592***,0.1030,0.2813***,0.1181,0.2549***,0.0848,0.2588***,0.1063,0.2945***,0.1978**,0.3319***,0.2240**,8.0778**,15.0230***,0.2855***,0.1951***,0.2786***,0.1176,0.2460***,0.0756,-0.0000***,-0.0000,0.2611***,0.1022,0.2664***,0.1045,0.2397**,0.0708,0.2963***,0.1885***,0.2712***,0.1629**,0.2606***,0.1107,0.0000***,-0.0000**,0.2781***,0.1297*,0.2891***,0.1358*,0.2535***,0.1046,0.2603***,0.0936,0.2663***,0.1095,0.2569***,0.0957,0.2792***,0.1281*,0.2596***,0.0940,0.2591***,0.1045,0.1651*,0.0882,0.1881**,0.1076,0.3532***,0.1589,0.2998***,0.1779*,0.0452,-0.0376,0.0811,0.0092,0.2674***,0.1042,0.2842***,0.1315*,0.2561***,0.0935,0.2724***,0.1182
C(REGION)[T.North America],-0.3432***,0.1499,-0.3053***,0.1701**,-0.3297***,0.1560*,-0.3116***,0.1675**,-0.3689***,0.1167,-0.3335***,0.1271**,-0.3563***,0.1180,-0.3197***,0.1371***,-0.2529***,-0.1628,-0.2199***,-0.1445,0.0000***,0.0000**,-0.2463***,0.3007***,-0.4009***,0.0867,-0.3253***,0.1477,-0.3397***,0.1575,-0.0000,-0.0000***,-0.3484***,0.1457,-0.3660***,0.1561,-0.2489***,0.3022***,-0.3416***,0.1121,-0.2955***,0.1768**,-0.3000***,0.1703**,0.0000,0.0000***,-0.3085***,0.1681**,-0.3221***,0.1680*,-0.3403***,0.1513,-0.3179***,0.1541*,-0.3451***,0.1469,-0.3019***,0.1755**,-0.3426***,0.1458,-0.3330***,0.1415*,-0.4242***,0.1116,-0.4018***,0.1401*,-0.0000**,0.0000,-0.0000**,-0.0000,-0.4397***,0.1219,-0.4280***,0.1447**,-0.2897***,0.2777***,-0.2894***,0.2636***,-0.3588***,0.1317,-0.3147***,0.1555**
C(REGION)[T.South Asia],0.1096,-0.2210**,0.0902,-0.2330***,0.1136,-0.2267**,0.1031,-0.2337***,0.0789,-0.2263*,0.0729,-0.2267**,0.1065,-0.2367**,0.0820,-0.2488***,-0.0410,-0.2730***,-0.0529,-0.2853***,0.4791,-0.3999,0.1572*,-0.1040,0.0912,-0.2040*,0.1142,-0.2327**,0.1047,-0.2300**,0.1095,-0.2213**,0.0000***,-0.0000,0.1113,-0.2313**,0.1219,-0.1362*,0.0671,-0.2081**,0.0953,-0.2455***,0.0864,-0.2380***,0.0902,-0.2331***,-0.0000***,0.0000,0.0816,-0.2403***,0.1035,-0.2278**,0.0882,-0.2343***,0.1113,-0.2163**,0.0931,-0.2287**,0.1033,-0.2226**,0.0940,-0.2260***,-0.0727,-0.3127***,-0.0996,-0.3411***,0.2084,-0.1921,0.1958,-0.1889*,-0.0000,0.0000***,-0.0000**,-0.0000**,0.1298,-0.2148**,0.1101,-0.2273**,0.1002,-0.2377**,0.0830,-0.2484***
C(REGION)[T.Sub-Saharan Africa],-0.0222,-0.2276***,-0.0242,-0.2245***,0.0227,-0.1953***,0.0094,-0.2010***,-0.0407,-0.2376***,-0.0390,-0.2371***,-0.0515,-0.2799***,-0.0606,-0.2766***,0.0005,-0.1205*,0.0094,-0.1181*,-3.8925,-1.8010,-0.0346,-0.1711***,-0.0221,-0.2009***,-0.0157,-0.2620***,-0.0357,-0.2330***,-0.0202,-0.2218***,-0.0258,-0.2309***,-0.0000,0.0000***,-0.0481,-0.1831***,-0.0410,-0.1907***,-0.0132,-0.2499***,-0.0392,-0.2318***,-0.0240,-0.2195***,-0.0238,-0.2240***,-0.0000***,0.0000**,0.0031,-0.1942***,0.0064,-0.1905***,-0.0292,-0.2451***,-0.0418,-0.2500***,0.0237,-0.1856***,0.0227,-0.1876***,-0.1535*,-0.2509***,-0.1724**,-0.2720***,0.0925*,-0.1113,0.0446,-0.1313*,-0.4265***,-0.4461***,-0.3983***,-0.3849***,-0.0242,-0.2231***,-0.0277,-0.2206***,-0.0285,-0.2361***,-0.0314,-0.2341***
C_CDBQ,,,0.0113**,0.0088,,,0.0079,0.0066,,,0.0102*,0.0120**,,,0.0130***,0.0099*,,,0.0057,0.0096,,-0.5576,,,,,,,,,,,,,,,0.0035,0.0104,0.0144***,0.0082,0.0140**,0.0086,0.0105*,0.0078,0.0112**,0.0084,0.0095*,0.0070,0.0122,0.0047,,,0.0099*,0.0072,,,0.0119**,0.0097,,,0.0090*,0.0068,,,0.0061,0.0133**,,,,,,,,,,,0.0110**,0.0084,,,0.0119**,0.0097
C_CDBQ_sub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100*,0.0061,,,-0.0026,0.0059,,,,,,,,
C_GOV_EFF,,,0.0565***,0.0675***,,,0.0295,0.0573***,,,0.0607***,0.0664***,,,0.0507**,0.0701***,,,0.0605***,0.0707***,,9.4446***,,,,,,,,,,,,,,,0.0577***,0.0464**,0.0441,0.0972***,0.0614***,0.0671***,0.0548**,0.0685***,0.0565***,0.0672***,0.0520**,0.0628***,0.0539**,0.0625**,,,0.0479**,0.0570***,,,0.0597***,0.0722***,,,0.0380*,0.0493**,,,0.0495**,0.0563***,,,,,,,,,,,0.0553**,0.0669***,,,0.0559***,0.0671***
C_GOV_EFF_sub,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0126,0.0538*,,,0.0506*,0.0739**,,,,,,,,
