Model,Description,N,R²,Adj. R²,Poverty Gap,Poverty HC,Poverty Gap $3,Poverty Gap $8.3,Poverty Q4,log(GDP),Governance,Building Quality,log(Earthquake),log(Storm),log(Flood),Earthquake (Binary),Storm (Binary),Flood (Binary),Gov × Poverty,Gov × Earthquake
RC0-A-VULN,VULN-Baseline (GDP Model),150,0.658,0.630,—,—,—,—,—,—,—,—,0.0642***,0.0086,-0.0332*,—,—,—,—,—
RC0-A-ONLY,ONLY-Baseline  (GDP Model),150,0.605,0.573,—,—,—,—,—,—,—,—,0.0408**,-0.0023,-0.0146,—,—,—,—,—
RC0-B-VULN,VULN-Baseline  (Inst. Model),150,0.663,0.634,—,—,—,—,—,—,—,—,0.0549***,0.0104,-0.0306,—,—,—,—,—
RC0-B-ONLY,ONLY-Baseline  (Inst. Model),150,0.595,0.560,—,—,—,—,—,—,—,—,0.0295,0.0026,-0.0155,—,—,—,—,—
RC1-A-VULN,VULN-Poverty Quartiles (GDP Model),150,0.667,0.635,—,—,—,—,-0.1471*,—,—,—,0.0653***,0.0076,-0.0311*,—,—,—,—,—
RC1-A-ONLY,ONLY-Poverty Quartiles (GDP Model),150,0.656,0.623,—,—,—,—,-0.1955**,—,—,—,0.0466***,-0.0019,-0.0104,—,—,—,—,—
RC1-B-VULN,VULN-Poverty Quartiles (Inst. Model),150,0.672,0.638,—,—,—,—,-0.1703**,—,—,—,0.0584***,0.0067,-0.0286,—,—,—,—,—
RC1-B-ONLY,ONLY-Poverty Quartiles (Inst. Model),150,0.654,0.619,—,—,—,—,-0.2261***,—,—,—,0.0399**,-0.0008,-0.0126,—,—,—,—,—
RC2-A-VULN,VULN-Poverty HC $4.20 (GDP Model),150,0.663,0.636,—,-0.0019,—,—,—,—,—,—,0.0631***,0.0101,-0.0304*,—,—,—,—,—
RC2-A-ONLY,ONLY-Poverty HC $4.20 (GDP Model),150,0.605,0.574,—,-0.0006,—,—,—,—,—,—,0.0401**,-0.0003,-0.0130,—,—,—,—,—
RC2-B-VULN,VULN-Poverty HC $4.20 (Inst. Model),150,0.674,0.645,—,-0.0026***,—,—,—,—,—,—,0.0560***,0.0094,-0.0275,—,—,—,—,—
RC2-B-ONLY,ONLY-Poverty HC $4.20 (Inst. Model),150,0.604,0.569,—,-0.0019**,—,—,—,—,—,—,0.0304,0.0022,-0.0130,—,—,—,—,—
RC3-A-VULN,VULN-Poverty Gap $3.00 (GDP Model),150,0.657,0.630,—,—,0.0003,—,—,—,—,—,0.0646***,0.0067,-0.0340**,—,—,—,—,—
