Model,Variable,Coefficient,Std_Error,P_Value,Sig
ONLY-I.1,Constant,0.2686768913736949,0.05062426726642826,1.1127643412904052e-07,***
ONLY-I.1,Poverty Gap ($4.20/day),0.0007277258223772686,0.0014147850734487694,0.6069919342556174,
ONLY-I.1,Log GDP per Capita (PPP),0.09399236525400298,0.02492342262127367,0.0001624342499890625,***
ONLY-I.1,Region FE: Europe & Central Asia,0.11508929099049278,0.06683505966140738,0.0850713663123036,*
ONLY-I.1,Region FE: Latin America & Caribbean,-0.16264040173528144,0.054543327450245954,0.0028650580692337426,***
ONLY-I.1,Region FE: Middle East & North Africa,0.24920418840650937,0.08767787386156393,0.004479354194538559,***
ONLY-I.1,Region FE: North America,-0.36938180630480166,0.0739978689918171,5.982234534813736e-07,***
ONLY-I.1,Region FE: South Asia,0.11218913897053753,0.10617782032625188,0.2906870680860545,
ONLY-I.1,Region FE: Sub-Saharan Africa,-0.061170666925432035,0.05027286242757676,0.22369055547069372,
ONLY-I.1,R-squared,0.5907492955106437,,,
ONLY-I.1,Adj. R-squared,0.567529397383588,,,
ONLY-I.1,N,150,,,
ONLY-I.1,Region Fixed Effects,Yes,,,
ONLY-I.3,Constant,0.2697013824798514,0.05029736380252492,8.224288004862197e-08,***
ONLY-I.3,Poverty Gap ($4.20/day),0.0005354684033356193,0.0013593250389352157,0.6936384288316044,
ONLY-I.3,Log GDP per Capita (PPP),0.06904088704927536,0.026619463788015593,0.009497021391751313,***
ONLY-I.3,Government Effectiveness (WGI),0.017264184504386066,0.021393166330904868,0.41966919574457906,
ONLY-I.3,Building Quality Index,0.009634057875443103,0.004400939649111351,0.028590218327873847,**
ONLY-I.3,Region FE: Europe & Central Asia,0.11425466610352637,0.06719659506864233,0.08907368369022789,*
ONLY-I.3,Region FE: Latin America & Caribbean,-0.14514450922560612,0.0536016721266264,0.006772358647120884,***
ONLY-I.3,Region FE: Middle East & North Africa,0.23379822105479592,0.09143032557615971,0.01055431104505529,**
