Model,Variable,Coefficient,Std_Error,P_Value,Sig
EQK-R-B.1,Constant,0.5720226544773398,0.0193815092911634,1.9131456619853282e-191,***
EQK-R-B.1,Poverty Gap ($4.20/day),-0.011916455022708971,0.0025066526394255805,1.9949862273113592e-06,***
EQK-R-B.1,Log GDP per Capita (PPP),0.029802812656521578,0.030603267550206707,0.33013393469150165,
EQK-R-B.1,R-squared,0.3756796590846918,,,
EQK-R-B.1,Adj. R-squared,0.36718550478652434,,,
EQK-R-B.1,N,150,,,
EQK-R-B.1,Region Fixed Effects,Yes,,,
EQK-R-B.1,Constant,0.8850394940585763,0.03527539612873325,6.4871369593323665e-139,***
EQK-R-B.1,Poverty Gap ($4.20/day),-0.0015027293556996637,0.0016604779302806538,0.36546639896358224,
EQK-R-B.1,Log GDP per Capita (PPP),0.04294436897378373,0.02259944537418102,0.057401637629249457,*
EQK-R-B.1,Region FE: Europe & Central Asia,-0.31153552865263434,0.04743285510437824,5.102054869751851e-11,***
EQK-R-B.1,Region FE: Latin America & Caribbean,-0.14467758531732167,0.05154831539774143,0.005006108919516073,***
EQK-R-B.1,Region FE: Middle East & North Africa,-0.18178748713121748,0.06896102567732935,0.008386742310709874,***
EQK-R-B.1,Region FE: North America,-0.08979860955837744,0.06084445708192838,0.13997835015397472,
EQK-R-B.1,Region FE: South Asia,-0.4027423960727095,0.10811108505497204,0.00019511046788368776,***
EQK-R-B.1,Region FE: Sub-Saharan Africa,-0.6052051634291443,0.048927623117749064,3.8268651334690463e-35,***
EQK-R-B.1,R-squared,0.6915246519335823,,,
EQK-R-B.1,Adj. R-squared,0.6740225045255586,,,
EQK-R-B.1,N,150,,,
EQK-R-B.1,Region Fixed Effects,Yes,,,
EQK-R-J.3,Constant,0.5720226544773399,0.018604164577259937,1.3401732631092835e-207,***
EQK-R-J.3,Poverty Gap ($4.20/day),-0.010832121477980879,0.002454302105574436,1.0170139338967144e-05,***
EQK-R-J.3,Log GDP per Capita (PPP),0.03670566592114084,0.030136395556933555,0.2232298220376876,
EQK-R-J.3,Earthquake Count (Log),0.07277882695665186,0.01606650543525693,5.902614599930564e-06,***
EQK-R-J.3,R-squared,0.4286685070478531,,,
EQK-R-J.3,Adj. R-squared,0.41692881883650756,,,
EQK-R-J.3,N,150,,,
EQK-R-J.3,Region Fixed Effects,Yes,,,
EQK-R-J.3,Constant,0.8725440320295286,0.03798005624795518,8.533544300256199e-117,***
EQK-R-J.3,Poverty Gap ($4.20/day),-0.001735101356562734,0.001657210841864902,0.2950991314729714,
EQK-R-J.3,Log GDP per Capita (PPP),0.04293871293312795,0.022493081678643303,0.056265418091723335,*
EQK-R-J.3,Earthquake Count (Log),0.021529826999862226,0.013711718249732264,0.11637389856114363,
EQK-R-J.3,Region FE: Europe & Central Asia,-0.2976609917013408,0.048942707202292775,1.188220457542511e-09,***
EQK-R-J.3,Region FE: Latin America & Caribbean,-0.1402115670292412,0.05065388036756708,0.005639590007534955,***
EQK-R-J.3,Region FE: Middle East & North Africa,-0.16899368161284253,0.07022684095732663,0.016110732405005785,**
EQK-R-J.3,Region FE: North America,-0.08890094419368315,0.07242490866178751,0.21963799541388884,
EQK-R-J.3,Region FE: South Asia,-0.4126887635259446,0.10896624773185812,0.00015228815746360717,***
EQK-R-J.3,Region FE: Sub-Saharan Africa,-0.5796388550916474,0.05451977427442754,2.1216799243531603e-26,***
EQK-R-J.3,R-squared,0.6953858217731441,,,
EQK-R-J.3,Adj. R-squared,0.6758034817442748,,,
EQK-R-J.3,N,150,,,
EQK-R-J.3,Region Fixed Effects,Yes,,,
EQK-RO-B.1,Constant,0.05493435271314377,0.009269411410417748,3.0962484095552325e-09,***
EQK-RO-B.1,Poverty Gap ($4.20/day),-0.003435781781127679,0.0009951225527925038,0.0005551668557505799,***
EQK-RO-B.1,Log GDP per Capita (PPP),-0.03038753873420243,0.012485705894534781,0.014941817720938232,**
EQK-RO-B.1,R-squared,0.06374485028850219,,,
EQK-RO-B.1,Adj. R-squared,0.051006684986304895,,,
EQK-RO-B.1,N,150,,,
EQK-RO-B.1,Region Fixed Effects,Yes,,,
EQK-RO-B.1,Constant,0.17722807718798805,0.040555238929396116,1.2422292545799503e-05,***
EQK-RO-B.1,Poverty Gap ($4.20/day),-0.0015610241860348046,0.000682876757341191,0.022257007118486667,**
EQK-RO-B.1,Log GDP per Capita (PPP),-0.04767050871432687,0.010572314515223061,6.513557656904085e-06,***
EQK-RO-B.1,Region FE: Europe & Central Asia,-0.06023899753111687,0.0452136507515315,0.18275544746305827,
EQK-RO-B.1,Region FE: Latin America & Caribbean,-0.17282589189412945,0.04148756731564466,3.103615145846464e-05,***
EQK-RO-B.1,Region FE: Middle East & North Africa,-0.11867024277108934,0.05173488106507643,0.021801131269129987,**
EQK-RO-B.1,Region FE: North America,-0.09975809552500225,0.04413037297372976,0.023788287475574495,**
EQK-RO-B.1,Region FE: South Asia,-0.20603961551088062,0.04253903980350772,1.2754490235347441e-06,***
