,(1) Robustness(M/H),(2) Robustness(H),(3) Poverty Gap,(4) Log GDP p.c.,(5) Gov. Effectiveness,(6) Building Quality,(7) Log EQK,(8) Log STM,(9) Log FLD,(10) Log 3-Haz,(11) Urban Pop %,(12) Log Land Area,(13) Log Population
(1) Robustness(M/H),1.000***,,,,,,,,,,,,
(2) Robustness(H),0.570***,1.000***,,,,,,,,,,,
(3) Poverty Gap,-0.634***,-0.461***,1.000***,,,,,,,,,,
(4) Log GDP p.c.,0.637***,0.579***,-0.755***,1.000***,,,,,,,,,
(5) Gov. Effectiveness,0.500***,0.480***,-0.533***,0.796***,1.000***,,,,,,,,
(6) Building Quality,0.298***,0.440***,-0.299***,0.423***,0.326***,1.000***,,,,,,,
(7) Log EQK,0.270***,0.082,-0.117,0.039,-0.002,0.266***,1.000***,,,,,,
(8) Log STM,0.264***,-0.007,-0.124,0.189**,0.203**,0.115,0.455***,1.000***,,,,,
(9) Log FLD,-0.126,-0.210***,0.208**,-0.193**,-0.248***,0.231***,0.550***,0.375***,1.000***,,,,
(10) Log 3-Haz,0.015,-0.183**,0.116,-0.092,-0.111,0.215***,0.663***,0.674***,0.906***,1.000***,,,
(11) Urban Pop %,0.531***,0.469***,-0.543***,0.702***,0.505***,0.299***,0.014,0.128,-0.093,-0.053,1.000***,,
(12) Log Land Area,-0.109,0.025,0.130,0.003,-0.117,0.370***,0.303***,0.191**,0.688***,0.597***,0.157*,1.000***,
(13) Log Population,-0.086,0.088,0.126,-0.012,-0.076,0.448***,0.456***,0.385***,0.776***,0.749***,0.114,0.827***,1.000***
