Variable,N,Mean,Std. Dev.,Min,Max
Combined Hazards (Robust or Medium),150.0,0.5224026870420337,0.2833091026759266,0.0249711461485507,1.0000000000000002
Combined Hazards (Robust Only),150.0,0.2808541412969643,0.2433142858237439,0.0,0.9995502661012344
"Poverty Gap (%, $4.20/day, 2021 PPP)",150.0,8.581333333333333,13.049217038749289,0.0,60.3
"GDP per Capita (PPP, Intl $2021) - RAW",150.0,23733.31478699192,24884.188520478587,1036.16712196238,130048.92038753
"Government Effectiveness (WGI, 2024)",150.0,-0.05934592674486339,0.9422010894416789,-2.2253339290618896,2.134927034378052
"Building Quality Index (0-15, Doing Business 2020)",150.0,10.280666666666667,3.105066149727482,0.0,15.0
Urban Population (%),150.0,59.34414083352246,21.189515899846267,16.9748746665356,99.2835325193835
Earthquake Events ,150.0,3.2266666666666666,10.53224302685491,0.0,97.0
Storm Events ,150.0,12.166666666666666,33.31211293221955,0.0,294.0
Flood Events ,150.0,19.913333333333334,28.89971938895994,0.0,201.0
