hazus_id,hazus_description,gem_str
W1,"Wood, Light Frame (≤ 5,000 sq. ft.) *Wood, Commercial and",DX+D99/W+WLI/LWAL+DU99/DY+D99/W+WLI/LWAL+DU99/H99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+RWO+RWO3+RWC99/F99+FWC99/FOS99
W2,"Wood, Light Frame (≤ 5,000 sq. ft.) *Wood, Commercial and",DX+D99/W+WHE/LPB+DU99/DY+D99/W+WHE/LPB+DU99/H99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+RWO+RWO99+RWC99/F99+FWC99/FOS99
S1L,Steel Moment Frame,"DX+D99/S+S99+SC99/LFM+DU99/DY+D99/S+S99+SC99/LFM+DU99/HBET:3,1+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S1M,Steel Moment Frame,"DX+D99/S+S99+SC99/LFM+DU99/DY+D99/S+S99+SC99/LFM+DU99/HBET:7,4+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S1H,Steel Moment Frame,DX+D99/S+S99+SC99/LFM+DU99/DY+D99/S+S99+SC99/LFM+DU99/HBET:8++HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99
S2L,Steel Braced Frame,"DX+D99/S+S99+SC99/LFBR+DU99/DY+D99/S+S99+SC99/LFBR+DU99/HBET:3,1+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S2M,Steel Braced Frame,"DX+D99/S+S99+SC99/LFBR+DU99/DY+D99/S+S99+SC99/LFBR+DU99/HBET:7,4+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S2H,Steel Braced Frame,DX+D99/S+S99+SC99/LFBR+DU99/DY+D99/S+S99+SC99/LFBR+DU99/HBET:8+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99
S3,Steel Light Frame,DX+D99/S+SL+SC99/LFM+DU99/DY+D99/S+SL+SC99/LFM+DU99/H99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99
S4L,Steel Frame with Cast-in-Place Concrete Shear Walls,"DX+D99/CR+CIP/LWAL+DU99/DY+D99/CR+CIP/LWAL+DU99/HBET:3,1+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S4M,Steel Frame with Cast-in-Place Concrete Shear Walls,"DX+D99/CR+CIP/LWAL+DU99/DY+D99/CR+CIP/LWAL+DU99/HBET:7,4+HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
S4H,Steel Frame with Cast-in-Place Concrete Shear Walls,DX+D99/CR+CIP/LWAL+DU99/DY+D99/CR+CIP/LWAL+DU99/HBET:8++HF99/Y99/OC99/BP99/PLF99/IR99/EW99/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99
S5L,Steel Frame with Unreinforced Masonry Infill Walls,"DX+D99/S+S99+SC99/LFINF+DU99/DY+D99/S+S99+SC99/LFINF+DU99/HBET:3,1+HF99/Y99/OC99/BP99/PLF99/IR99/EWMA/RSH99+RMT99+R99+RWC99/F99+FWC99/FOS99"
